request,iteration,requester_agent_id,include_agent_keys,explicit_key_count,compact_key_bytes,resolved_key_count,returned_belief_count,marginalization_graph,lock_wait_ms,prepare_request_ms,get_beliefs_ms,pack_response_ms,callback_ms
42,42,98,1,6,14,7,0,local,0.000143,0.375812,0.169979,0.000031,0.545965
43,43,98,1,6,14,7,0,local,0.000144,0.313075,0.138426,0.000037,0.451682
44,44,98,1,6,14,7,0,local,0.000223,0.353643,0.140242,0.000031,0.494139
45,45,98,1,6,14,7,0,local,0.000245,0.332969,0.140914,0.000030,0.474158
46,46,98,1,6,14,7,0,local,0.000220,0.346489,0.142583,0.000030,0.489322
47,47,98,1,6,14,7,0,local,0.000122,0.351486,0.144436,0.000030,0.496074
48,48,98,1,6,14,7,0,local,0.000151,0.484795,0.145536,0.000028,0.630510
49,49,98,1,6,14,7,0,local,0.000252,0.319454,0.149240,0.000030,0.468976
50,50,98,0,0,0,4,0,global,0.000196,0.356829,0.053077,0.000030,0.410132
51,51,98,0,0,0,4,0,global,0.000165,0.320884,0.051760,0.000029,0.372838
52,52,98,0,0,0,4,0,global,0.000157,0.343965,0.051875,0.000029,0.396026
53,53,98,0,0,0,4,0,global,0.000238,0.351318,0.051301,0.000030,0.402887
54,54,98,0,0,0,4,0,global,0.000130,0.388557,0.053798,0.000037,0.442522
55,55,98,0,0,0,4,0,global,0.000146,0.334400,0.052359,0.000030,0.386935
56,56,98,0,0,0,4,0,global,0.000144,0.454123,0.055810,0.000031,0.510108
57,57,98,0,0,0,4,0,global,0.000220,0.348829,0.051811,0.000031,0.400891
58,58,98,0,0,0,4,0,global,0.000211,0.347106,0.052100,0.000030,0.399447
59,59,98,0,0,0,4,0,global,0.000298,0.322620,0.052573,0.000030,0.375521
60,60,98,1,6,14,7,0,local,0.000133,0.318522,0.143619,0.000029,0.462303
61,61,98,1,6,14,7,0,local,0.000097,0.973309,0.157354,0.000040,1.130800
62,62,98,1,6,14,7,0,local,0.000264,0.337516,0.147725,0.000038,0.485543
63,63,98,1,6,14,7,0,local,0.000165,0.306136,0.145863,0.000030,0.452194
64,64,98,1,6,14,7,0,local,0.000143,0.325040,0.140478,0.000028,0.465689
65,65,98,1,6,14,7,0,local,0.000164,0.297801,0.140468,0.000030,0.438463
66,66,98,1,6,14,7,0,local,0.000166,0.311468,0.140967,0.000032,0.452633
67,67,98,1,6,14,7,0,local,0.000241,0.363152,0.144795,0.000031,0.508219
68,68,98,1,6,14,7,0,local,0.000230,0.373999,0.150729,0.000030,0.524988
69,69,98,1,6,14,7,0,local,0.000169,0.334879,0.141248,0.000029,0.476325
70,70,98,0,0,0,4,0,global,0.000240,0.365965,0.051891,0.000030,0.418126
71,71,98,0,0,0,4,0,global,0.000156,0.333179,0.051696,0.000029,0.385060
72,72,98,0,0,0,4,0,global,0.000148,0.339309,0.050657,0.000030,0.390144
73,73,98,0,0,0,4,0,global,0.000145,0.328412,0.050642,0.000030,0.379229
74,74,98,0,0,0,4,0,global,0.000252,0.331660,0.050236,0.000030,0.382178
75,75,98,0,0,0,4,0,global,0.000255,0.340904,0.052220,0.000029,0.393408
76,76,98,0,0,0,4,0,global,0.000262,0.364256,0.056774,0.000031,0.421323
77,77,98,0,0,0,4,0,global,0.000144,0.341871,0.053553,0.000029,0.395597
78,78,98,0,0,0,4,0,global,0.000200,0.352492,0.059889,0.000032,0.412613
79,79,98,0,0,0,4,0,global,0.000178,0.361180,0.054139,0.000034,0.415531
80,80,98,1,6,14,7,0,local,0.000222,0.360851,0.153229,0.000030,0.514332
81,81,98,1,6,14,7,0,local,0.000298,0.357998,0.153286,0.000029,0.511611
82,82,98,1,6,14,7,0,local,0.000254,0.371605,0.155784,0.000030,0.527673
83,83,98,1,6,14,7,0,local,0.000159,0.373968,0.148234,0.000030,0.522391
84,84,98,1,6,14,7,0,local,0.000187,0.332043,0.145574,0.000029,0.477833
85,85,98,1,6,14,7,0,local,0.000240,0.341442,0.145375,0.000030,0.487087
86,86,98,1,6,14,7,0,local,0.000153,0.375553,0.144487,0.000031,0.520224
87,87,98,1,6,14,7,0,local,0.000250,0.333329,0.150057,0.000040,0.483676
88,88,98,1,6,14,7,0,local,0.000149,0.325584,0.136185,0.000028,0.461946
89,89,98,1,6,14,7,0,local,0.000137,0.325202,0.146057,0.000030,0.471426
90,90,98,0,0,0,4,0,global,0.000145,0.356329,0.052313,0.000032,0.408819
91,91,98,0,0,0,4,0,global,0.000155,0.347788,0.052435,0.000031,0.400409
92,92,98,0,0,0,4,0,global,0.000127,0.326682,0.051953,0.000030,0.378792
93,93,98,0,0,0,4,0,global,0.000157,0.389311,0.059405,0.000030,0.448903
94,94,98,0,0,0,4,0,global,0.000042,0.347380,0.051602,0.000031,0.399055
95,95,98,0,0,0,4,0,global,0.000157,0.540472,0.052278,0.000030,0.592937
96,96,98,0,0,0,4,0,global,0.000207,0.350846,0.053462,0.000031,0.404546
97,97,98,0,0,0,4,0,global,0.000040,0.346244,0.051833,0.000030,0.398147
98,98,98,0,0,0,4,0,global,0.000216,0.327277,0.049117,0.000029,0.376639
99,99,98,0,0,0,4,0,global,0.000255,0.365248,0.050652,0.000031,0.416186
