peer,from1,to1,from2,to2,available,squared_mahalanobis,threshold,translation_m,rotation_rad,consistent
1,4,12,15,21,1,0.0078435594478893558,16.811893829770931,0.09844639741250226,0.0023790614358750063,1
1,4,12,15,24,1,0.0088053410298143901,16.811893829770931,0.10683761168838692,0.0046835905272407325,1
1,4,12,18,27,1,0.010301767614484834,16.811893829770931,0.13359537290449278,0.0062651949893184873,1
1,4,12,20,29,1,0.012931496235637809,16.811893829770931,0.16911144353938232,0.0088162095713030277,1
1,4,12,31,19,1,0.01023214941610762,16.811893829770931,0.15395890878813237,0.0044838916875116789,1
1,4,12,34,17,1,0.010921014858917236,16.811893829770931,0.17620745189470652,0.0072402570456270889,1
1,4,12,532,471,1,0.0057450912837314159,16.811893829770931,2.9982908131056858,0.026576621955019659,1
1,4,12,539,473,1,0.0061863754989202446,16.811893829770931,2.957662338371073,0.027571310553297285,1
1,4,12,545,474,1,0.0061887855328994525,16.811893829770931,3.3343126288486946,0.025713061366818508,1
1,6,9,8,9,1,8.2583499210142915e-05,16.811893829770931,0.0025869069826388999,0.00054849150524086978,1
1,6,9,9,12,1,0.0010600410407310636,16.811893829770931,0.033937684969070146,0.0011429487193878177,1
1,6,9,9,15,1,0.0028730637138239096,16.811893829770931,0.05825505577034213,0.0017749303317242842,1
1,6,9,10,1,1,0.0068959832591380292,16.811893829770931,0.033809659897316616,0.0061613075904927818,1
1,6,9,14,15,1,0.0030433793107420256,16.811893829770931,0.058112563857484908,0.002428308058621674,1
1,6,9,14,18,1,0.0054158280157829402,16.811893829770931,0.08302433471297975,0.0035178457574028058,1
1,6,9,15,21,1,0.0053007936172434229,16.811893829770931,0.087367487515416481,0.0040536562737258528,1
1,6,9,15,24,1,0.0066722381406044938,16.811893829770931,0.10013414900396742,0.0062310418848913716,1
1,6,9,18,27,1,0.0083613079548866508,16.811893829770931,0.13432760174177763,0.0078346812028847954,1
1,6,9,20,29,1,0.012262152436204213,16.811893829770931,0.17944998954046748,0.01067855393093527,1
1,6,9,31,19,1,0.0088969621642720174,16.811893829770931,0.15131679028563838,0.0067203849291290405,1
1,6,9,34,17,1,0.011375858226646119,16.811893829770931,0.18066668959975823,0.0096601611471035242,1
1,6,9,532,471,1,0.0065384542882969106,16.811893829770931,3.0216941103636574,0.029536220722106276,1
1,6,9,539,473,1,0.0070120409501524504,16.811893829770931,2.981865224517033,0.030506218213669709,1
1,6,9,545,474,1,0.0069880562445207243,16.811893829770931,3.3625474989511375,0.02870888881448588,1
1,8,9,9,12,1,0.0010087571400419133,16.811893829770931,0.032718499509639884,0.0010156186766142445,1
1,8,9,9,15,1,0.0029248563490916939,16.811893829770931,0.056692770111424741,0.001809481182764455,1
1,8,9,10,1,1,0.0074563107375451619,16.811893829770931,0.034014134173710631,0.0062034019197576059,1
1,8,9,14,15,1,0.0030373038045113216,16.811893829770931,0.05558628252877057,0.0022598225927823704,1
1,8,9,14,18,1,0.0055369673942560951,16.811893829770931,0.081091204850620574,0.0035246871680761258,1
1,8,9,15,21,1,0.005447583143717967,16.811893829770931,0.085133224733514798,0.0040819912792773262,1
1,8,9,15,24,1,0.0068561424152805642,16.811893829770931,0.098687722069357928,0.006304522547853653,1
1,8,9,18,27,1,0.0085238811014427592,16.811893829770931,0.13324556423458311,0.0079091397017282353,1
1,8,9,20,29,1,0.012549054584292278,16.811893829770931,0.17839271005827451,0.010730009603307337,1
1,8,9,31,19,1,0.0093706964871115815,16.811893829770931,0.14885245668685745,0.0067118037564452976,1
1,8,9,34,17,1,0.011963419919923625,16.811893829770931,0.17861406781762162,0.0096304907620202405,1
1,8,9,532,471,1,0.0064408746745690439,16.811893829770931,3.0231520491228401,0.029305035730526847,1
1,8,9,539,473,1,0.0069142643564308161,16.811893829770931,2.9832952094441265,0.03030792983291852,1
1,8,9,545,474,1,0.0068845026403034706,16.811893829770931,3.3638451098027065,0.028474731274759621,1
1,9,12,9,15,1,0.00076768749672597174,16.811893829770931,0.025242576986000156,0.00085124674452602444,1
1,9,12,10,1,1,0.0087112603381044717,16.811893829770931,0.032199218737619842,0.0071924846974200443,1
1,9,12,14,15,1,0.0019332781253543368,16.811893829770931,0.044865846479906754,0.0013028446206283688,1
1,9,12,14,18,1,0.0030589849909632605,16.811893829770931,0.053773477326733043,0.0025864641672147209,1
1,9,12,15,21,1,0.0041091900696425552,16.811893829770931,0.067493397929959439,0.0033989759891635152,1
1,9,12,15,24,1,0.006364752672221116,16.811893829770931,0.080343338045034227,0.0058572451777191914,1
1,9,12,18,27,1,0.0090603219223198382,16.811893829770931,0.11769826924619606,0.0075161249295895485,1
1,9,12,20,29,1,0.013813140901504477,16.811893829770931,0.1617087555400688,0.010262876015580593,1
1,9,12,31,19,1,0.0081319240214367434,16.811893829770931,0.13375053305156656,0.0059443865398186415,1
1,9,12,34,17,1,0.012199900987749429,16.811893829770931,0.1691745366200291,0.0088180966898589001,1
1,9,12,532,471,1,0.0063220810867864992,16.811893829770931,3.0490206071725749,0.028501882379928536,1
1,9,12,539,473,1,0.0067823677812511593,16.811893829770931,3.0063569374357746,0.029516662030717695,1
1,9,12,545,474,1,0.0067578370322268124,16.811893829770931,3.3807790427519802,0.027735001106088106,1
1,9,15,10,1,1,0.0097961835740908616,16.811893829770931,0.051945523459260137,0.0078626856586799625,1
1,9,15,14,15,1,0.0014600378944768513,16.811893829770931,0.039384093950817746,0.0010666570809489649,1
1,9,15,14,18,1,0.0012616953447961334,16.811893829770931,0.027776520950051908,0.0018172393918815537,1
1,9,15,15,21,1,0.0027909487622426732,16.811893829770931,0.047217957674973478,0.0027971313230584923,1
1,9,15,15,24,1,0.0058542563137650135,16.811893829770931,0.05795805961212766,0.0053638989950447781,1
1,9,15,18,27,1,0.009340527048258945,16.811893829770931,0.094928005686608447,0.007045402934957699,1
1,9,15,20,29,1,0.014533099668459528,16.811893829770931,0.13284128669010997,0.0097376458001049992,1
1,9,15,31,19,1,0.0067866972450862815,16.811893829770931,0.11044834756475484,0.0052785800504700879,1
1,9,15,34,17,1,0.012012580649905021,16.811893829770931,0.1457634724692759,0.0081327734600759472,1
1,9,15,532,471,1,0.0063458477668273169,16.811893829770931,3.0840657713871624,0.027984678098354612,1
1,9,15,539,473,1,0.006797058194246525,16.811893829770931,3.0322708955976458,0.028969733772787287,1
1,9,15,545,474,1,0.0067848326685571473,16.811893829770931,3.3957751551406505,0.027246828486815377,1
1,10,1,14,15,1,0.01105375034050976,16.811893829770931,0.063138463875608217,0.0084539589863668885,1
1,10,1,14,18,1,0.012202589226133645,16.811893829770931,0.06850645113914354,0.0093686920897350524,1
1,10,1,15,21,1,0.010899000459902341,16.811893829770931,0.078306803090732402,0.0091715709838663308,1
1,10,1,15,24,1,0.010246050200534082,16.811893829770931,0.082700287408104589,0.010078881357134683,1
1,10,1,18,27,1,0.010943444239308748,16.811893829770931,0.12005597035356223,0.011119655530828535,1
1,10,1,20,29,1,0.016326672083556263,16.811893829770931,0.17108593845316591,0.013894316370239697,1
1,10,1,31,19,1,0.016415755780043683,16.811893829770931,0.15035294264395777,0.011701713689679802,1
1,10,1,34,17,1,0.020881951178941874,16.811893829770931,0.18067787975208865,0.014605812290921812,1
1,10,1,532,471,1,0.0077805706187928413,16.811893829770931,3.0596562385125785,0.034213674139683417,1
1,10,1,539,473,1,0.0083384046284436693,16.811893829770931,3.0133278142643376,0.035025292807432586,1
1,10,1,545,474,1,0.0083270872138817096,16.811893829770931,3.3915134052109939,0.032979043281688186,1
1,14,15,14,18,1,0.0021115047001801744,16.811893829770931,0.038825680059632973,0.001960722071132816,1
1,14,15,15,21,1,0.0024007223786182271,16.811893829770931,0.023078288260964974,0.0032395398134277349,1
1,14,15,15,24,1,0.0069555120375809857,16.811893829770931,0.046994128163125828,0.0059141695686934963,1
1,14,15,18,27,1,0.0098848880409278372,16.811893829770931,0.079124938480025123,0.0075890949208946125,1
1,14,15,20,29,1,0.014371310356157586,16.811893829770931,0.1096087339462945,0.010162741694382332,1
1,14,15,31,19,1,0.0056193174799967563,16.811893829770931,0.079825743016054093,0.0054229990350960723,1
1,14,15,34,17,1,0.0099322105726583447,16.811893829770931,0.10900004730876618,0.0081275647607933748,1
1,14,15,532,471,1,0.0063393875164370565,16.811893829770931,3.0712039945406704,0.027497428157263432,1
1,14,15,539,473,1,0.0067858009618932845,16.811893829770931,3.0168573082694317,0.028580051947300303,1
1,14,15,545,474,1,0.0067507446522819025,16.811893829770931,3.3778214636871757,0.026835781438558658,1
1,14,18,15,21,1,0.0013775805276388553,16.811893829770931,0.029321069855198445,0.0016217439020079312,1
1,14,18,15,24,1,0.0053930795268573367,16.811893829770931,0.044817103665573017,0.0042893558291725734,1
1,14,18,18,27,1,0.0094403163519401236,16.811893829770931,0.077286865086259815,0.0059455245685909154,1
1,14,18,20,29,1,0.014551006103613736,16.811893829770931,0.10672493000945295,0.0084032336235571291,1
1,14,18,31,19,1,0.0050586828352742492,16.811893829770931,0.084785997131594917,0.0035907510726202094,1
1,14,18,34,17,1,0.010370324280571185,16.811893829770931,0.118920967196624,0.0063569447500132249,1
1,14,18,532,471,1,0.0061514667529191042,16.811893829770931,3.1167672269009685,0.026340646425072507,1
1,14,18,539,473,1,0.006581004223343458,16.811893829770931,3.0550626105012251,0.027276371808411862,1
1,14,18,545,474,1,0.0065952195684395361,16.811893829770931,3.4062621941424087,0.025617982465600583,1
1,15,21,15,24,1,0.0030599213948486132,16.811893829770931,0.034449929817614154,0.0027071909539612311,1
1,15,21,18,27,1,0.0064932864962412738,16.811893829770931,0.05642542048821677,0.0043805129889053357,1
1,15,21,20,29,1,0.010896726388514447,16.811893829770931,0.073214985580881964,0.006963276120481727,1
1,15,21,31,19,1,0.0032901089140229636,16.811893829770931,0.064481265678579341,0.0026995436551078673,1
1,15,21,34,17,1,0.0066851177410865471,16.811893829770931,0.084056556228289198,0.0056744896589342713,1
1,15,21,532,471,1,0.0062540226850668918,16.811893829770931,3.1134548067764567,0.02603385286354731,1
1,15,21,539,473,1,0.0066905162331920513,16.811893829770931,3.0429394622990817,0.026820916371784718,1
1,15,21,545,474,1,0.0067466380143051657,16.811893829770931,3.3830917838692822,0.025122760601994847,1
1,15,24,18,27,1,0.0016353742689916111,16.811893829770931,0.027095825354251365,0.0016862091169741634,1
1,15,24,20,29,1,0.0055012793649637497,16.811893829770931,0.049583203719155935,0.0044525284378084682,1
1,15,24,31,19,1,0.006279121493453819,16.811893829770931,0.098046380323243684,0.002621873554028333,1
1,15,24,34,17,1,0.0075861880812902885,16.811893829770931,0.10418544598946913,0.004928395252240759,1
1,15,24,532,471,1,0.0061471409657539219,16.811893829770931,3.1106003707499084,0.025382087846465361,1
1,15,24,539,473,1,0.0065776792025646607,16.811893829770931,3.0327267109389258,0.025885701569110148,1
1,15,24,545,474,1,0.0067072812700900057,16.811893829770931,3.3643867178126814,0.024199956616200488,1
1,18,27,20,29,1,0.0027153501250467013,16.811893829770931,0.028090647309433458,0.0029139102176825348,1
1,18,27,31,19,1,0.009308322514224452,16.811893829770931,0.1131164127472114,0.0035834426466925268,1
1,18,27,34,17,1,0.0082882713843378253,16.811893829770931,0.10690638388803546,0.0049338736452111849,1
1,18,27,532,471,1,0.0061646594300967241,16.811893829770931,3.1107942053977746,0.024855754762496726,1
1,18,27,539,473,1,0.0065894773535161858,16.811893829770931,3.0245141163416847,0.025180420649849197,1
1,18,27,545,474,1,0.0067636032879042698,16.811893829770931,3.3463900380646066,0.023510760381420085,1
1,20,29,31,19,1,0.011057186847985869,16.811893829770931,0.11893999212276909,0.0052252701452628605,1
1,20,29,34,17,1,0.0071261354221259744,16.811893829770931,0.10102771155387846,0.0047865781519181305,1
1,20,29,532,471,1,0.0059599487985480424,16.811893829770931,3.1025200354659486,0.02293253754097533,1
1,20,29,539,473,1,0.0063534473149187377,16.811893829770931,3.0136775947365892,0.022997593348293877,1
1,20,29,545,474,1,0.0065890573818176458,16.811893829770931,3.33131820046962,0.021424532134922722,1
1,31,19,34,17,1,0.0036409328905830851,16.811893829770931,0.056358421204943832,0.0029789103540719974,1
1,31,19,532,471,1,0.0062103237641485502,16.811893829770931,3.1224536354343848,0.023577049577814185,1
1,31,19,539,473,1,0.0066222051684526224,16.811893829770931,3.0577392671411943,0.02426883328021532,1
1,31,19,545,474,1,0.0067244147172719811,16.811893829770931,3.4021289135461097,0.022661307131531593,1
1,34,17,532,471,1,0.0056724407037173907,16.811893829770931,3.0820381893008366,0.020882750411644356,1
1,34,17,539,473,1,0.0060359619636256544,16.811893829770931,3.0119504995157378,0.021468882488025164,1
1,34,17,545,474,1,0.0061681680423294177,16.811893829770931,3.3560420816553123,0.019996023815141248,1
1,532,471,539,473,1,0.0042027853448982147,16.811893829770931,0.056566657600276057,0.0030214112122094326,1
1,532,471,545,474,1,0.001884273748226328,16.811893829770931,0.029071593060096622,0.0033734639163951852,1
1,539,473,545,474,1,0.0036848469069921028,16.811893829770931,0.042368367808248146,0.0030697248261980807,1
2,11,1,530,498,1,0.0061440209795227772,16.811893829770931,3.7748218709216892,0.038228386186208586,1
2,11,1,532,498,1,0.0063748649837554201,16.811893829770931,3.887872219552595,0.038817549344711696,1
2,11,1,535,498,1,0.0062985082378639,16.811893829770931,3.709260618117427,0.038808841923426755,1
2,11,1,536,503,1,0.0062692926236101532,16.811893829770931,3.7553530219405058,0.039137363269183899,1
2,11,1,538,498,1,0.0064554446177040037,16.811893829770931,3.4368687299809957,0.0394603986053913,1
2,11,1,540,506,1,0.0064217034404189036,16.811893829770931,4.020934281869919,0.039840302452366951,1
2,11,1,542,509,1,0.0065117731930861445,16.811893829770931,4.1899082518788981,0.039978243902880545,1
2,11,1,543,492,1,0.0063170172670113361,16.811893829770931,3.9496858746097749,0.039063646507814513,1
2,11,1,543,513,1,0.0062702545636042694,16.811893829770931,3.8389632001576617,0.039013976829495416,1
2,530,498,532,498,1,0.0011453178919266587,16.811893829770931,0.03048887126479671,0.0010802888113007217,1
2,530,498,535,498,1,0.00026985127641707222,16.811893829770931,0.011401708363883911,0.00082572105272020588,1
2,530,498,536,503,1,0.0014722716966580423,16.811893829770931,0.039789347951952568,0.0010753505840928029,1
2,530,498,538,498,1,0.0013204805202362111,16.811893829770931,0.016069086166747636,0.0024356662366843344,1
2,530,498,540,506,1,0.0019964818718754595,16.811893829770931,0.044400878240490153,0.0020983248904584066,1
2,530,498,542,509,1,0.0036978397729599361,16.811893829770931,0.06896391093542599,0.0019278126358339579,1
2,530,498,543,492,1,0.0015380672505503437,16.811893829770931,0.038180613074298222,0.0019087732023220052,1
2,530,498,543,513,1,0.0059321137220719605,16.811893829770931,0.101143305848443,0.0010037382156790995,1
2,532,498,535,498,1,0.00064681285472361239,16.811893829770931,0.020729989622877983,0.0010342273641226515,1
2,532,498,536,503,1,0.0032300879452277949,16.811893829770931,0.06156865094037843,0.0011981719236942041,1
2,532,498,538,498,1,0.0021324320164700307,16.811893829770931,0.027425936492322212,0.0026798397107053087,1
2,532,498,540,506,1,0.0030243398063919389,16.811893829770931,0.05709817870997725,0.002489512048756643,1
2,532,498,542,509,1,0.0035102422793530865,16.811893829770931,0.064064973775297657,0.0020622413521471051,1
2,532,498,543,492,1,0.0022950029559186459,16.811893829770931,0.043531157135719541,0.0026547783924511341,1
2,532,498,543,513,1,0.0065600998087934044,16.811893829770931,0.10380067474349855,0.00038554537561030587,1
2,535,498,536,503,1,0.0016137783933546205,16.811893829770931,0.04274054142659918,0.00036112481908115641,1
2,535,498,538,498,1,0.00087736819161752415,16.811893829770931,0.010292720349780687,0.0017395800661174877,1
2,535,498,540,506,1,0.0018930971078255346,16.811893829770931,0.042443809905456251,0.0017737219970551876,1
2,535,498,542,509,1,0.003422332283433565,16.811893829770931,0.061100493499963618,0.001695668228563127,1
2,535,498,543,492,1,0.0013738070615009574,16.811893829770931,0.032590772776032124,0.0018698831126465203,1
2,535,498,543,513,1,0.0060325388908486315,16.811893829770931,0.096325870990551746,0.00074111149284411971,1
2,536,503,538,498,1,0.0016071783852681532,16.811893829770931,0.036566729592804097,0.0015961554442517299,1
2,536,503,540,506,1,0.00097022175455024765,16.811893829770931,0.022713703971382802,0.0014766639774358903,1
2,536,503,542,509,1,0.003539977522099952,16.811893829770931,0.060922289932055174,0.0014036413902516949,1
2,536,503,543,492,1,0.00096817785421702727,16.811893829770931,0.037145264779259779,0.0017130542982092193,1
2,536,503,543,513,1,0.0043117593357744439,16.811893829770931,0.076640781578766998,0.00083533624368206563,1
2,538,498,540,506,1,0.0017366763460579286,16.811893829770931,0.033682700387987645,0.0018818163134214688,1
2,538,498,542,509,1,0.0037135427124876125,16.811893829770931,0.053456744031372301,0.0023816750934995343,1
2,538,498,543,492,1,0.0012194061746192567,16.811893829770931,0.023225890931354978,0.0021328771699775538,1
2,538,498,543,513,1,0.0061071120916461209,16.811893829770931,0.086562447345538737,0.0023501379462332454,1
2,540,506,542,509,1,0.0016042326248982132,16.811893829770931,0.038516845652927269,0.00083312843941576824,1
2,540,506,543,492,1,0.00027345794901279246,16.811893829770931,0.016667685302364569,0.00088752602865578502,1
2,540,506,543,513,1,0.0036963310857212857,16.811893829770931,0.061936039700644104,0.0021279350215261503,1
2,542,509,543,492,1,0.00089051511176581018,16.811893829770931,0.027913307414582686,0.0014246554008894505,1
2,542,509,543,513,1,0.0026969364095078482,16.811893829770931,0.051834492588755436,0.0017412096739450173,1
2,543,492,543,513,1,0.0031097499895342408,16.811893829770931,0.073535629812415432,0.0023469602942482568,1
