request,iteration,requester_agent_id,include_agent_keys,explicit_key_count,compact_key_bytes,resolved_key_count,returned_belief_count,marginalization_graph,lock_wait_ms,prepare_request_ms,get_beliefs_ms,pack_response_ms,callback_ms
64,63,99,1,1,6,7,0,local,0.000057,13.197389,0.140462,0.000030,13.337938
65,64,99,1,1,6,7,0,local,0.000216,11.443022,0.147274,0.000028,11.590540
66,65,99,1,1,6,7,0,local,0.000071,13.594301,0.145752,0.000042,13.740166
67,66,99,1,1,6,7,0,local,0.000343,11.646788,0.147100,0.000036,11.794267
68,67,99,1,1,6,7,0,local,0.000064,11.412954,0.144615,0.000030,11.557663
69,68,99,1,1,6,7,0,local,0.000130,11.766511,0.356389,0.000042,12.123072
70,69,99,0,0,0,4,0,global,0.000059,12.581144,0.059761,0.000034,12.640998
71,70,99,0,0,0,4,0,global,0.000058,11.645795,0.059758,0.000029,11.705640
72,71,99,0,0,0,4,0,global,0.000053,11.279657,0.057655,0.000031,11.337396
73,72,99,0,0,0,4,0,global,0.000145,13.795043,0.056546,0.000028,13.851762
74,73,99,0,0,0,4,0,global,0.000132,11.343487,0.058991,0.000028,11.402638
75,74,99,0,0,0,4,0,global,0.000147,13.734749,0.055393,0.000039,13.790328
76,75,99,0,0,0,4,0,global,0.000169,11.477793,0.062843,0.000042,11.540847
77,76,99,0,0,0,4,0,global,0.000263,11.788088,0.068380,0.000030,11.856761
78,78,99,0,0,0,4,0,global,13.020006,11.427796,0.056222,0.000032,24.504056
79,78,99,0,0,0,4,0,global,0.000056,13.408533,0.063680,0.000028,13.472297
80,79,99,1,1,6,7,0,local,0.000290,12.577744,0.164743,0.000034,12.742811
81,80,99,1,1,6,7,0,local,0.000270,11.790123,0.165062,0.000030,11.955485
82,81,99,1,1,6,7,0,local,0.000263,11.943144,0.166856,0.000030,12.110293
83,82,99,1,1,6,7,0,local,0.000169,12.080018,0.157174,0.000036,12.237397
84,83,99,1,1,6,7,0,local,0.000373,11.818405,0.165408,0.000030,11.984216
85,84,99,1,1,6,7,0,local,0.000339,12.200530,0.142320,0.000043,12.343232
86,85,99,1,1,6,7,0,local,0.000061,11.241378,0.152010,0.000032,11.393481
87,86,99,1,1,6,7,0,local,0.000054,12.973876,0.143337,0.000045,13.117312
88,87,99,1,1,6,7,0,local,0.000421,15.167483,0.142784,0.000031,15.310719
89,88,99,1,1,6,7,0,local,0.000061,11.966880,0.145352,0.000030,12.112323
90,89,99,0,0,0,4,0,global,0.000124,11.425488,0.058103,0.000033,11.483748
91,90,99,0,0,0,4,0,global,0.000111,11.403655,0.058868,0.000039,11.462673
92,91,99,0,0,0,4,0,global,0.000053,12.394018,0.058375,0.000030,12.452476
93,92,99,0,0,0,4,0,global,0.000155,12.959660,0.057888,0.000030,13.017733
94,93,99,0,0,0,4,0,global,0.000062,11.535278,0.062227,0.000034,11.597601
95,94,99,0,0,0,4,0,global,0.000154,11.526760,0.062629,0.000030,11.589573
96,95,99,0,0,0,4,0,global,0.000046,13.155949,0.061027,0.000030,13.217052
97,96,99,0,0,0,4,0,global,0.000413,11.705195,0.058411,0.000030,11.764049
98,97,99,0,0,0,4,0,global,0.000055,13.011705,0.060038,0.000044,13.071842
99,98,99,0,0,0,4,0,global,0.000091,12.285897,0.057809,0.000041,12.343838
